,Unnamed: 0,日期,历史销量,当天温度,当天油价,节假日,当时天气,item_id,,reindexed_id,节假日_embed_0,当时天气_embed_0,节假日_embed_1,当时天气_embed_1,节假日_embed_2,当时天气_embed_2,item_id_embed_0,item_id_embed_1,item_id_embed_2
4673,4673,2023/4/14,9195,0.069565217,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4729,4729,2023/6/11,9196,0.934782609,0.232541249,周末,小雨,MD23_300863,61,54,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.023914006,-0.029688716,0.057406627
4700,4700,2023/5/13,9822,0.386956522,0.106135415,周末,小雨,MD23_300863,61,54,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.023914006,-0.029688716,0.057406627
4705,4705,2023/5/18,9853,0.3,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4708,4708,2023/5/21,10354,0.57826087,0.106135415,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4674,4674,2023/4/15,10453,0.065217391,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4696,4696,2023/5/9,10549,0.482608696,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4684,4684,2023/4/26,10657,0.07826087,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4718,4718,2023/5/31,10667,0.682608696,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4734,4734,2023/6/16,10724,0.608695652,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4741,4741,2023/6/23,10773,0.686956522,0.232541249,端午,中雨,MD23_300863,61,54,0.27282408,0.27830893,0.44870573,-0.14739233,-0.10796219,-0.49761134,-0.023914006,-0.029688716,0.057406627
4690,4690,2023/5/2,11266,0.365217391,0.106135415,劳动节,晴,MD23_300863,61,54,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.023914006,-0.029688716,0.057406627
4675,4675,2023/4/16,11797,0.134782609,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4680,4680,2023/4/21,11969,0.256521739,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4733,4733,2023/6/15,12121,0.969565217,0.232541249,工作日,中雨,MD23_300863,61,54,0.34693596,0.27830893,0.09961563,-0.14739233,-0.6226144,-0.49761134,-0.023914006,-0.029688716,0.057406627
4704,4704,2023/5/17,12382,0.460869565,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4687,4687,2023/4/29,12443,0.195652174,0,劳动节,晴,MD23_300863,61,54,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.023914006,-0.029688716,0.057406627
4710,4710,2023/5/23,12622,0.27826087,0.106135415,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4719,4719,2023/6/1,12797,0.743478261,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4728,4728,2023/6/10,13044,0.717391304,0.232541249,周末,中雨,MD23_300863,61,54,0.11682984,0.27830893,-0.119455874,-0.14739233,-0.08843416,-0.49761134,-0.023914006,-0.029688716,0.057406627
4685,4685,2023/4/27,13086,0.039130435,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4678,4678,2023/4/19,14143,0.339130435,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4746,4746,2023/6/28,14232,0.947826087,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4702,4702,2023/5/15,14244,0.491304348,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4717,4717,2023/5/30,14347,0.513043478,0.106135415,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4730,4730,2023/6/12,14871,0.656521739,0.232541249,工作日,中雨,MD23_300863,61,54,0.34693596,0.27830893,0.09961563,-0.14739233,-0.6226144,-0.49761134,-0.023914006,-0.029688716,0.057406627
4722,4722,2023/6/4,15114,0.752173913,0.232541249,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4742,4742,2023/6/24,15711,0.473913043,0.232541249,端午,晴,MD23_300863,61,54,0.27282408,0.16187012,0.44870573,0.03897214,-0.10796219,-0.612784,-0.023914006,-0.029688716,0.057406627
4683,4683,2023/4/25,16996,0.191304348,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4660,4660,2023/4/1,17898,0.065217391,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4677,4677,2023/4/18,18564,0.117391304,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4738,4738,2023/6/20,19786,0.443478261,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
